x,y,z,type,bodyId_post
30320,24255,48118,post,
30320,24274,48098,post,
29948,24135,48209,post,
30478,24246,48192,post,
25739,24235,46696,post,
25721,24242,46669,post,
31389,27775,47872,post,
28394,24831,48197,post,
31387,27692,47841,post,
29465,24703,48146,post,
27833,25346,48158,post,
30159,26647,47212,post,
30541,26623,48052,post,
26896,24322,47238,post,
25479,24074,46185,post,
27825,24709,47814,post,
26210,24217,47022,post,
29249,24782,48016,post,
28633,24689,48019,post,
28483,24646,48050,post,
26233,24236,47023,post,
28598,24758,47958,post,
25981,24236,46899,post,
28674,24809,47918,post,
27938,25346,48069,post,
25510,24023,46058,post,
26893,24295,47227,post,
26702,24275,47203,post,
26697,24283,47200,post,
26856,23748,47338,post,
25290,24300,46442,post,
25273,24278,46453,post,
25204,24244,46395,post,
25813,21839,48172,post,
27604,25007,48008,post,
29041,25925,47484,post,
29080,25934,47421,post,
29125,25952,47398,post,
29206,23022,43973,post,
25322,25283,50161,post,
25220,25197,50001,post,
25498,25327,49922,post,
24953,25121,50278,post,
25033,25144,50240,post,
30063,25865,47777,post,
30054,25863,47743,post,
22238,24380,49309,post,
23327,24538,49794,post,
23044,24492,49772,post,
23155,24508,49739,post,
21037,23472,48416,post,
21047,23437,48449,post,
25105,21764,47282,post,
25199,21888,47500,post,
25321,21962,47459,post,
25130,21787,47470,post,
21140,23602,48289,post,
28125,23706,46722,post,
30980,24665,47062,post,
29683,25837,48225,post,
27987,23528,46713,post,
30213,24505,47045,post,
24332,22633,46668,post,
24256,22654,46703,post,
26216,24206,46938,post,
29188,24899,47308,post,
29250,24822,47289,post,
26825,24787,47279,post,
26960,24741,47442,post,
29336,25240,47762,post,
28295,24026,46584,post,
25084,21785,47307,post,
25663,21932,47145,post,
27591,23810,46519,post,
28487,24103,46563,post,
28640,24175,46450,post,
28644,24172,46440,post,
24425,18989,44362,post,
25706,19788,44307,post,
28162,24195,46798,post,
28089,24186,46727,post,
28132,24143,46863,post,
28338,24194,47234,post,
21520,21565,48116,post,
24519,21678,48062,post,
25498,23216,48479,post,
25523,23220,48467,post,
25467,23225,48470,post,
25479,23449,48465,post,
25462,23445,48424,post,
25591,23314,48385,post,
28351,23248,47394,post,
28351,23227,47374,post,
23982,21202,47665,post,
25500,23515,48288,post,
25508,23527,48256,post,
26343,23848,47952,post,
26337,23846,47944,post,
25266,22342,48319,post,
25259,22352,48309,post,
25263,22334,48302,post,
29258,23622,47768,post,
22036,22215,48304,post,
27938,23744,47703,post,
29262,23619,47765,post,
24308,22019,48260,post,
24282,21964,48143,post,
25898,21816,48145,post,
29533,23170,46100,post,
29530,23179,46093,post,
25206,20869,46181,post,
25751,19471,44865,post,
25699,19455,44922,post,
28387,23206,47355,post,
29454,22973,44312,post,
30867,24179,44377,post,
30942,24278,44343,post,
29425,23393,45380,post,
29439,22958,44278,post,
29798,22970,43995,post,
29799,22969,43978,post,
24500,19273,44473,post,
24498,19271,44471,post,
24437,19268,44466,post,
24448,19253,44443,post,
28315,21200,42971,post,
25792,19327,44253,post,
24498,18858,43835,post,
25752,19484,43832,post,
30687,23375,44352,post,
30812,23396,44241,post,
30760,23388,44288,post,
33300,27479,44549,post,
32081,24975,44453,post,
22658,24255,49003,post,
28808,24354,48121,post,
28106,24467,47945,post,
28050,24403,47959,post,
28064,24434,47930,post,
22379,24306,48663,post,
25361,22601,48094,post,
25344,22566,48082,post,
25381,22603,48082,post,
25332,22560,48081,post,
25221,22558,48119,post,
25213,22550,48115,post,
25359,22642,48055,post,
25240,22536,47988,post,
25231,22536,47996,post,
25189,22511,48030,post,
25184,22510,48023,post,
22340,22041,47909,post,
22336,22033,47905,post,
22037,22598,47837,post,
22024,22570,47805,post,
22649,22555,47806,post,
22022,22565,47802,post,
22023,22556,47802,post,
22655,22527,47793,post,
25111,23549,48516,post,
25100,23552,48517,post,
25084,23474,48526,post,
25774,23525,47419,post,
25752,23525,47421,post,
25765,23511,47389,post,
24542,22265,47789,post,
29753,23143,47383,post,
25759,21518,47243,post,
25706,21539,47145,post,
24082,21118,47583,post,
24137,21119,47566,post,
25116,23428,48329,post,
24640,22132,47457,post,
20595,21571,47402,post,
20579,21571,47373,post,
28781,24286,48082,post,
28859,24199,48039,post,
28823,24231,48031,post,
28810,24243,48033,post,
28833,24301,48022,post,
30572,24433,48167,post,
30566,24384,48156,post,
30062,24325,48179,post,
30058,24325,48179,post,
30039,24292,48139,post,
25531,24365,46723,post,
22169,23026,48179,post,
24780,23904,46305,post,
24774,23876,46280,post,
24631,22273,48280,post,
24834,24002,46115,post,
24804,24039,46121,post,
24795,24041,46117,post,
24832,23985,46113,post,
24593,22257,48289,post,
25014,24420,46984,post,
25047,24433,46961,post,
24264,24182,47039,post,
24208,24124,46990,post,
24227,24109,46981,post,
28390,24272,46930,post,
28400,24252,46954,post,
25689,23754,45930,post,
25708,23693,45916,post,
28051,23664,47048,post,
28111,23628,47012,post,
28109,23610,46997,post,
29737,23740,46879,post,
27209,23303,47058,post,
26564,24657,47119,post,
25487,22861,46995,post,
25461,22884,46989,post,
25487,22856,46992,post,
27671,24246,47274,post,
27686,24252,47254,post,
27683,24243,47244,post,
25656,23826,45880,post,
23343,23902,47042,post,
23314,23917,46995,post,
29722,24045,47762,post,
24072,23925,47779,post,
26946,23946,46883,post,
26983,23892,46863,post,
22945,23836,47682,post,
24174,23234,44786,post,
27215,23252,47086,post,
29318,22476,47133,post,
24205,23217,44759,post,
25673,21549,47087,post,
24008,23182,44563,post,
24076,23090,44560,post,
25801,23586,47445,post,
29296,22493,47003,post,
29314,22521,46962,post,
25689,23458,47344,post,
25678,23437,47328,post,
25608,23504,47272,post,
27203,23421,47250,post,
27095,23493,47215,post,
27085,23492,47212,post,
23712,22652,46976,post,
23631,22675,47035,post,
23691,22654,46977,post,
23653,22650,46965,post,
25421,22699,46933,post,
23724,22639,46953,post,
23611,22649,46921,post,
23709,22632,46912,post,
29785,23145,47363,post,
29684,23153,47306,post,
29674,23144,47295,post,
27366,23258,47243,post,
29713,23211,47267,post,
29642,23062,47291,post,
27375,23265,47230,post,
23198,23222,47180,post,
22950,23162,47219,post,
22950,23169,47199,post,
27224,23218,47140,post,
27217,23235,47110,post,
23044,23110,47160,post,
25687,21483,47047,post,
22726,22739,47286,post,
22737,22759,47264,post,
22752,22689,47232,post,
22727,22735,47279,post,
25660,21503,47022,post,
28400,22940,47303,post,
24666,21799,47301,post,
24335,24061,46348,post,
26931,24042,46860,post,
26847,23865,46727,post,
26045,20281,43187,post,
24191,23086,44906,post,
24110,23213,44824,post,
24239,23113,44873,post,
23870,23011,43857,post,
22896,20235,44483,post,
23345,20019,44398,post,
23337,20035,44378,post,
26072,19580,44291,post,
24170,19776,44220,post,
24599,18948,44103,post,
24607,18940,44103,post,
24605,18938,44101,post,
24317,21030,43788,post,
23484,22780,43500,post,
24465,19085,43994,post,
24317,21023,43774,post,
24317,20996,43755,post,
28812,22714,43181,post,
28710,22691,43126,post,
28710,22683,43125,post,
29581,23623,46928,post,
29655,23459,47252,post,
29597,23481,47277,post,
29563,23467,47272,post,
29621,23319,47219,post,
24080,24124,47763,post,
22402,21091,48165,post,
26977,21838,47969,post,
22921,23236,48278,post,
22920,23233,48188,post,
24640,22042,48501,post,
22004,22201,48133,post,
25750,21777,48159,post,
25644,21765,48151,post,
24151,21417,48230,post,
26835,23437,48798,post,
26827,23435,48782,post,
26796,23420,48750,post,
26749,23366,48713,post,
26773,22856,46270,post,
26312,22939,45742,post,
26293,22948,45723,post,
22568,23003,48082,post,
22549,22894,48069,post,
22542,22906,48062,post,
22964,23502,47751,post,
22954,23599,47648,post,
22635,23056,48033,post,
22812,23882,47363,post,
22962,23628,47612,post,
23081,23558,47536,post,
22954,23629,47599,post,
23081,23566,47531,post,
23024,23611,47441,post,
22844,23780,47355,post,
25027,25526,49955,post,
24965,25509,49953,post,
26451,25621,49297,post,
28210,25451,47663,post,
28328,25006,47509,post,
28267,24888,47506,post,
28264,25232,48158,post,
28187,25276,48202,post,
22470,22199,46712,post,
28388,25399,47607,post,
25218,21670,46240,post,
24600,21565,46257,post,
24597,21590,46219,post,
22412,22255,46873,post,
28275,24969,47597,post,
25229,22807,46064,post,
20997,22015,47165,post,
20965,22011,47165,post,
26949,22806,45652,post,
26948,22797,45651,post,
23774,21863,45832,post,
23772,21873,45845,post,
22330,21131,48285,post,
22214,21107,48247,post,
20706,21783,47698,post,
22903,23057,48180,post,
24727,22091,48409,post,
24578,22114,48388,post,
22987,23149,48080,post,
22978,23132,48029,post,
26047,24401,47300,post,
25883,24410,47211,post,
25588,25687,50833,post,
25585,25686,50830,post,
24529,26083,50735,post,
25423,21496,46561,post,
26515,24321,46774,post,
26502,24350,46772,post,
26506,24379,46735,post,
25455,22290,46673,post,
25536,22066,46813,post,
25631,22310,46543,post,
26550,23558,48137,post,
26609,23573,48159,post,
22229,22223,46734,post,
22078,21661,46885,post,
24032,19674,43750,post,
22754,24569,48807,post,
26709,23179,46677,post,
26979,23251,46600,post,
28070,25027,47085,post,
34090,36034,44778,post,
34315,35901,44774,post,
28121,23551,47762,post,
28136,23429,47718,post,
27384,22004,47838,post,
27389,23056,47366,post,
29939,25585,46824,post,
28492,23916,47968,post,
27896,23586,47775,post,
26936,24453,46953,post,
26061,24185,47857,post,
27738,23870,47839,post,
26979,23875,47682,post,
26795,23821,47689,post,
32649,26569,45223,post,
32613,26662,45292,post,
32483,26756,45206,post,
32501,26740,45163,post,
29793,23218,45790,post,
27964,22729,47103,post,
27952,22748,47106,post,
27283,23103,47310,post,
32226,27519,46705,post,
32212,27537,46682,post,
30336,22990,44291,post,
33760,27611,44705,post,
33521,27460,44706,post,
33510,27407,44711,post,
32995,27194,46223,post,
32338,25247,44858,post,
32333,25234,44851,post,
26226,19427,44105,post,
28570,20119,43436,post,
28703,20320,43346,post,
28671,20282,43344,post,
28668,20281,43335,post,
25093,23362,47011,post,
23636,23122,46921,post,
25472,23226,44255,post,
24858,20798,44772,post,
28319,25619,47394,post,
28297,25558,47417,post,
28307,25584,47405,post,
25188,22509,48030,post,
23983,24377,48052,post,
23957,24373,48026,post,
24368,21580,48027,post,
24355,21586,48009,post,
23962,21076,47910,post,
24196,23728,46685,post,
22799,23638,47815,post,
22860,23649,47633,post,
23995,24176,47801,post,
23430,23530,47669,post,
23837,23471,47877,post,
23864,23448,47880,post,
23588,23477,47635,post,
23435,23525,47657,post,
23437,23527,47659,post,
25811,21583,47299,post,
25821,21410,47467,post,
25822,21414,47469,post,
25936,21481,47233,post,
24041,21235,47279,post,
23991,21037,47186,post,
27774,24236,47907,post,
24871,24478,47068,post,
23485,23574,47986,post,
24866,24475,47058,post,
30581,24063,45596,post,
23840,23951,47055,post,
23841,23951,47055,post,
30551,24063,45566,post,
30544,24027,45491,post,
26044,21207,44534,post,
26008,21240,44527,post,
26026,21197,44533,post,
26079,21164,44537,post,
26062,21165,44536,post,
26077,21162,44537,post,
23652,18798,44378,post,
23528,18827,44427,post,
23653,18798,44374,post,
24099,20030,43893,post,
22516,22997,48116,post,
22515,23064,48139,post,
22476,22961,48227,post,
22901,24049,47411,post,
22847,24010,47375,post,
24195,23910,47354,post,
24189,24053,47293,post,
22703,23462,47243,post,
24246,19718,44361,post,
29396,25294,47999,post,
33529,27495,44682,post,
25068,23335,47417,post,
24757,21742,47153,post,
24774,21682,47119,post,
23597,22760,46175,post,
24183,24319,47830,post,
22973,23430,47356,post,
25129,24289,47381,post,
23875,22755,46016,post,
23872,22771,46014,post,
24744,23746,46382,post,
24712,23754,46383,post,
28447,23093,46731,post,
28866,23778,47717,post,
29221,23218,44532,post,
32513,27742,46718,post,
32501,27749,46717,post,
33342,27525,44625,post,
33300,27485,44558,post,
30544,23744,44510,post,
30538,23739,44510,post,
30294,23016,44036,post,
30323,22935,43966,post,
23932,18834,44364,post,
23824,18832,44360,post,
29706,22935,43510,post,
27069,19469,44047,post,
32773,27607,47562,post,
32759,27583,47631,post,
25431,23887,48732,post,
25429,23885,48730,post,
24366,21566,48383,post,
24321,21508,48375,post,
25330,23288,48686,post,
25365,22119,48054,post,
25284,23268,48617,post,
29759,23463,47611,post,
27345,23342,47488,post,
25595,22390,47656,post,
25598,22378,47656,post,
27193,23359,47371,post,
25809,23163,47567,post,
27486,21906,47813,post,
26115,21581,47798,post,
26639,24254,47997,post,
26610,24127,47880,post,
31692,27531,47188,post,
28570,23919,47933,post,
28556,23956,47877,post,
31074,24764,47093,post,
25469,22795,48301,post,
25459,22815,48245,post,
29846,23674,48126,post,
29854,23690,48106,post,
29780,23730,48057,post,
29796,23701,48017,post,
29840,23650,48044,post,
29616,23629,48005,post,
24445,24424,47079,post,
29763,23669,47882,post,
29758,23679,47891,post,
25780,21871,48331,post,
24259,21462,48328,post,
24364,24116,47018,post,
24329,24174,46979,post,
31311,24842,47119,post,
28562,24133,47817,post,
29588,23006,47055,post,
28032,24032,47853,post,
27257,23941,47648,post,
27231,23331,47323,post,
26108,22791,46565,post,
30164,23458,47495,post,
26991,21885,47957,post,
24581,21610,48036,post,
24416,21559,47955,post,
