mn_type,mn_id,nerve,subsystem,thorax,side,joint,dof,actuator_name,sign,action,gain,bias,confidence,notes
MNad10_AbN4_R,14469,AbN4,abdomen,Ab,right,abdomen,main,abdomen,,,1.0,0.0,strong,"auto by subsystem=abdomen, nerve=AbN4, side=R"
MNad11_AbN3_L,13403,AbN3,abdomen,Ab,left,abdomen,main,abdomen,,,1.0,0.0,strong,"auto by subsystem=abdomen, nerve=AbN3, side=L"
MNad11_AbN3_R,13579,AbN3,abdomen,Ab,right,abdomen,main,abdomen,,,1.0,0.0,strong,"auto by subsystem=abdomen, nerve=AbN3, side=R"
MNad11_AbN4_L,13999,AbN4,abdomen,Ab,left,abdomen,main,abdomen,,,1.0,0.0,strong,"auto by subsystem=abdomen, nerve=AbN4, side=L"
MNad11_AbN4_L,18692,AbN4,abdomen,Ab,left,abdomen,main,abdomen,,,1.0,0.0,strong,"auto by subsystem=abdomen, nerve=AbN4, side=L"
MNad11_AbN4_L,19924,AbN4,abdomen,Ab,left,abdomen,main,abdomen,,,1.0,0.0,strong,"auto by subsystem=abdomen, nerve=AbN4, side=L"
MNad11_AbN4_R,13878,AbN4,abdomen,Ab,right,abdomen,main,abdomen,,,1.0,0.0,strong,"auto by subsystem=abdomen, nerve=AbN4, side=R"
MNad11_AbN4_R,14008,AbN4,abdomen,Ab,right,abdomen,main,abdomen,,,1.0,0.0,strong,"auto by subsystem=abdomen, nerve=AbN4, side=R"
MNad11_AbN4_R,19486,AbN4,abdomen,Ab,right,abdomen,main,abdomen,,,1.0,0.0,strong,"auto by subsystem=abdomen, nerve=AbN4, side=R"
MNad12_AbNT_L,13225,AbNT,abdomen,Ab,left,abdomen,main,abdomen,,,1.0,0.0,strong,"auto by subsystem=abdomen, nerve=AbNT, side=L"
MNad12_AbNT_L,14233,AbNT,abdomen,Ab,left,abdomen,main,abdomen,,,1.0,0.0,strong,"auto by subsystem=abdomen, nerve=AbNT, side=L"
MNad12_AbNT_R,13183,AbNT,abdomen,Ab,right,abdomen,main,abdomen,,,1.0,0.0,strong,"auto by subsystem=abdomen, nerve=AbNT, side=R"
MNad12_AbNT_R,14787,AbNT,abdomen,Ab,right,abdomen,main,abdomen,,,1.0,0.0,strong,"auto by subsystem=abdomen, nerve=AbNT, side=R"
MNad13_AbN2_L,12269,AbN2,abdomen,Ab,left,abdomen,main,abdomen,,,1.0,0.0,strong,"auto by subsystem=abdomen, nerve=AbN2, side=L"
MNad13_AbN2_R,11830,AbN2,abdomen,Ab,right,abdomen,main,abdomen,,,1.0,0.0,strong,"auto by subsystem=abdomen, nerve=AbN2, side=R"
MNad13_AbN3_L,12844,AbN3,abdomen,Ab,left,abdomen,main,abdomen,,,1.0,0.0,strong,"auto by subsystem=abdomen, nerve=AbN3, side=L"
MNad13_AbN3_R,13297,AbN3,abdomen,Ab,right,abdomen,main,abdomen,,,1.0,0.0,strong,"auto by subsystem=abdomen, nerve=AbN3, side=R"
MNad13_AbN4_L,100612,AbN4,abdomen,Ab,left,abdomen,main,abdomen,,,1.0,0.0,strong,"auto by subsystem=abdomen, nerve=AbN4, side=L"
MNad13_AbN4_L,13655,AbN4,abdomen,Ab,left,abdomen,main,abdomen,,,1.0,0.0,strong,"auto by subsystem=abdomen, nerve=AbN4, side=L"
MNad13_AbN4_L,16178,AbN4,abdomen,Ab,left,abdomen,main,abdomen,,,1.0,0.0,strong,"auto by subsystem=abdomen, nerve=AbN4, side=L"
MNad13_AbN4_L,23801,AbN4,abdomen,Ab,left,abdomen,main,abdomen,,,1.0,0.0,strong,"auto by subsystem=abdomen, nerve=AbN4, side=L"
