mn_type,mn_id,thorax,side,nerve_base,segment_hint,group,Target,joint,dof,action,gain,bias,sign,actuator_name,instance,type,systematicType,name,cellType,class,actuator_hint_note,actuator_name_autofill_score,muscle_group
MNad68_AbNT_L,10527,,left,AbNT,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad68_AbNT_L,MNad68,MNad68,,,motor neuron,no Target,4,extensor
MNad69_AbNT_L,10524,,left,AbNT,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad69_AbNT_L,MNad69,MNad69,,,motor neuron,no Target,4,extensor
MNhl01_AbN1_L,221983,,left,AbN1,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNhl01_AbN1_L,MNhl01,MNhl01,,,motor neuron,no Target,4,extensor
MNhl02_AbN1_L,11813,,left,AbN1,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNhl02_AbN1_L,MNhl02,MNhl02,,,motor neuron,no Target,4,extensor
MNhl62_AbN1_L,27479,,left,AbN1,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNhl62_AbN1_L,MNhl62,MNhl62,,,motor neuron,no Target,4,extensor
MNhm03_AbN1_L,10825,,left,AbN1,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNhm03_AbN1_L,MNhm03,MNhm03,,,motor neuron,no Target,4,extensor
MNhm42_AbN1_L,10571,,left,AbN1,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNhm42_AbN1_L,MNhm42,MNhm42,,,motor neuron,no Target,4,extensor
MNhm43_AbN1_L,17216,,left,AbN1,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNhm43_AbN1_L,MNhm43,MNhm43,,,motor neuron,no Target,4,extensor
MNad01_AbN3_R,18939,,right,AbN3,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad01_AbN3_R,MNad01,MNad01,,,motor neuron,no Target,4,extensor
MNad01_AbN4_R,20052,,right,AbN4,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad01_AbN4_R,MNad01,MNad01,,,motor neuron,no Target,4,extensor
MNad01_AbN4_R,155854,,right,AbN4,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad01_AbN4_R,MNad01,MNad01,,,motor neuron,no Target,4,extensor
MNad02_AbN2_R,17719,,right,AbN2,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad02_AbN2_R,MNad02,MNad02,,,motor neuron,no Target,4,extensor
MNad02_AbN3_R,24225,,right,AbN3,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad02_AbN3_R,MNad02,MNad02,,,motor neuron,no Target,4,extensor
MNad02_AbN4_R,17319,,right,AbN4,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad02_AbN4_R,MNad02,MNad02,,,motor neuron,no Target,4,extensor
MNad02_AbN4_R,20055,,right,AbN4,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad02_AbN4_R,MNad02,MNad02,,,motor neuron,no Target,4,extensor
MNad02_AbN4_R,20115,,right,AbN4,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad02_AbN4_R,MNad02,MNad02,,,motor neuron,no Target,4,extensor
MNad02_AbN4_R,154153,,right,AbN4,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad02_AbN4_R,MNad02,MNad02,,,motor neuron,no Target,4,extensor
