x,y,z,type
30266,34037,25527,post
30218,34185,25458,post
29987,34016,25794,post
30000,34024,25777,post
30417,34022,25700,post
30349,33922,25953,post
30327,34029,25894,post
29920,34056,25810,post
29943,34090,25801,post
32770,33560,32613,post
32857,33825,32852,post
29638,33925,25959,post
32356,34958,29058,post
32395,34515,28760,post
32365,34449,28746,post
32363,34508,28842,post
32360,34467,28850,post
32323,34401,29206,post
32325,34371,29201,post
34116,33819,38805,post
34110,33821,38743,post
35477,33221,36971,post
35377,33368,36926,post
35246,33379,36911,post
35377,33354,36944,post
35254,33319,36882,post
35125,33354,36850,post
35233,33312,36858,post
29390,34579,25472,post
30474,33946,25247,post
30163,34162,25621,post
30138,34179,25631,post
30219,34246,25476,post
30202,34236,25456,post
29465,34504,25500,post
29547,34362,25612,post
32977,33781,29409,post
32984,33768,29409,post
33200,32203,29995,post
33282,32140,30001,post
33316,32118,29971,post
34091,33444,39750,post
34095,33440,39740,post
34244,32947,39816,post
34230,32949,39803,post
34173,33618,38947,post
34177,32359,39828,post
33856,34320,39014,post
33855,34321,39008,post
34054,33842,38590,post
34214,33516,38922,post
33881,32902,40563,post
33870,32900,40559,post
34182,33501,39240,post
33795,34300,38882,post
33795,34297,38873,post
33843,34238,38849,post
33844,34155,38862,post
33879,34161,38787,post
34162,33528,38391,post
34147,33446,38339,post
33810,34224,38963,post
33778,34902,39381,post
34992,33442,37013,post
34147,33553,38411,post
35182,33603,37000,post
34979,33645,36908,post
34688,33429,37222,post
35070,32933,37490,post
33299,33186,35363,post
33307,33181,35357,post
33282,33137,35321,post
32451,31675,33630,post
32400,31685,33581,post
30739,39770,30063,post
30810,39697,29717,post
31099,39367,29226,post
30857,39606,29577,post
33250,32254,30023,post
23052,28752,43265,post
32430,34323,29575,post
32315,34393,28920,post
32328,34407,29190,post
32304,34369,28946,post
32301,34347,28962,post
32310,34358,28935,post
31381,35159,27024,post
31337,35290,26908,post
32409,34449,29269,post
32410,34436,29284,post
31474,35684,27394,post
