x,y,z,type,bodyId_post
18658,20471,46125,post,
18663,20468,46112,post,
24438,22963,47329,post,
24431,22954,47356,post,
23440,22696,46400,post,
23416,22640,46379,post,
23429,23018,43269,post,
23432,23018,43270,post,
27065,19626,44089,post,
20096,22867,48242,post,
20098,22866,48234,post,
19644,23417,47997,post,
19700,23290,48118,post,
23940,25254,50878,post,
25443,23883,48867,post,
25424,23914,48816,post,
25435,23896,48743,post,
25440,23886,48754,post,
25329,23294,48668,post,
25406,23219,47821,post,
29871,23470,47615,post,
27398,23347,47445,post,
27376,23350,47488,post,
25233,23223,48171,post,
29279,23865,47897,post,
25473,22804,48326,post,
25442,22818,48245,post,
29777,23660,47882,post,
29776,23667,47891,post,
24730,22246,48182,post,
28552,24133,47829,post,
28550,23009,47115,post,
29244,23852,47795,post,
27261,23374,47323,post,
26729,22246,45663,post,
18350,21313,49034,post,
18389,21314,48929,post,
18259,21342,48954,post,
18384,21243,48867,post,
18327,21145,48750,post,
27719,23538,47654,post,
24481,21657,47997,post,
24443,21610,47984,post,
26968,23602,47987,post,
27052,23835,47655,post,
29190,23815,47589,post,
25853,22854,45618,post,
27437,23864,46525,post,
26420,23306,45204,post,
26437,23340,45177,post,
21462,23073,48652,post,
26534,24656,46816,post,
25081,23724,45799,post,
18690,20560,46104,post,
19290,20218,46166,post,
21079,21494,42991,post,
23737,23260,42912,post,
21377,22161,43027,post,
29681,22775,46466,post,
23361,25205,49676,post,
23472,25037,49563,post,
20380,23245,48230,post,
20293,23212,48168,post,
28403,24236,46810,post,
30221,24582,46918,post,
30184,24400,47019,post,
28581,24344,46957,post,
28522,24320,46950,post,
23894,22397,46682,post,
21551,23436,48054,post,
18619,23345,47936,post,
23641,22541,47017,post,
23058,22612,47252,post,
27491,23639,46452,post,
27388,23613,46481,post,
25081,23179,48549,post,
25041,23214,48528,post,
15282,23753,46967,post,
25391,23834,48811,post,
25933,25396,49784,post,
25904,25434,49758,post,
25349,24951,49768,post,
25418,25021,49687,post,
25687,23125,47714,post,
25737,22950,47840,post,
25547,22819,47836,post,
25488,22710,47771,post,
27882,23494,47434,post,
29723,24220,48024,post,
29636,24268,48067,post,
28436,24190,47921,post,
29766,23974,47930,post,
29155,23837,47615,post,
25363,22966,48350,post,
25371,22988,48348,post,
26649,23624,48013,post,
26747,23602,47911,post,
